trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,10.001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.002,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.003,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.004,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.005,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.006,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.007,63.0,2.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.008000000000001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.009,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.01,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.011000000000001,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.012,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.013,62.0,3.0,0.0,0.0,0.0,4506.0,0.0
1000.0,10.014,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.015,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.016,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.017,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.018,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.019,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.02,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.021,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.022,62.0,2.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.023,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.024000000000001,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.025,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.026,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
1000.0,10.027000000000001,63.0,1.0,1.0,0.0,0.0,4506.0,0.0
